,model_id,mean_residual_deviance,rmse,mse,mae,rmsle,algo
0,GBM_grid_1_AutoML_2_20220517_221751_model_11,0.0026374583324444,0.0513561907898597,0.0026374583324444,0.0378745491186409,0.0316628563919585,GBM
1,GBM_grid_1_AutoML_2_20220517_221751_model_27,0.0026626398463957,0.0516007736995851,0.0026626398463957,0.0382514334637029,0.031729201488856,GBM
2,StackedEnsemble_BestOfFamily_8_AutoML_2_20220517_221751,0.0026771566020944,0.051741246622926,0.0026771566020944,0.0378544571625758,0.0319281535057027,StackedEnsemble
3,StackedEnsemble_BestOfFamily_4_AutoML_2_20220517_221751,0.0026838532629757,0.0518059191886001,0.0026838532629757,0.0378250402361493,0.0319770024761544,StackedEnsemble
4,GBM_grid_1_AutoML_2_20220517_221751_model_28,0.0027026388454937,0.0519869103284059,0.0027026388454937,0.0380927628450138,0.0320998366784474,GBM
5,StackedEnsemble_BestOfFamily_3_AutoML_2_20220517_221751,0.0027056210873509,0.0520155850428596,0.0027056210873509,0.0379715835145155,0.0319835494726107,StackedEnsemble
6,StackedEnsemble_AllModels_3_AutoML_2_20220517_221751,0.0027079096227701,0.0520375789480081,0.0027079096227701,0.0379024221621524,0.0321521237891782,StackedEnsemble
7,StackedEnsemble_BestOfFamily_7_AutoML_2_20220517_221751,0.002712746217221,0.052084030347325,0.002712746217221,0.0374723927092414,0.0322254466103071,StackedEnsemble
8,GBM_grid_1_AutoML_2_20220517_221751_model_14,0.0027278225337738,0.0522285605179177,0.0027278225337738,0.0380221263381376,0.032185915179837,GBM
9,GBM_grid_1_AutoML_2_20220517_221751_model_24,0.0027294984321272,0.0522446019424707,0.0027294984321272,0.0385732222557905,0.0323242919569104,GBM
10,StackedEnsemble_AllModels_2_AutoML_2_20220517_221751,0.0027304280558429,0.0522534980249455,0.0027304280558429,0.0379289749618872,0.0321271874602288,StackedEnsemble
11,GBM_grid_1_AutoML_2_20220517_221751_model_1,0.0027405186203711,0.05234996294527,0.0027405186203711,0.0383578502608769,0.0323752326502109,GBM
12,GBM_grid_1_AutoML_2_20220517_221751_model_2,0.0027433539287284,0.0523770362728596,0.0027433539287284,0.0381717956970007,0.0322916805608014,GBM
13,StackedEnsemble_AllModels_6_AutoML_2_20220517_221751,0.0027525962742584,0.0524651910723521,0.0027525962742584,0.03807786091335,0.0324000169237557,StackedEnsemble
14,XGBoost_lr_search_selection_AutoML_2_20220517_221751_select_grid_model_4,0.0027576050620557,0.0525129037671285,0.0027576050620557,0.0377193157757814,0.0323381335036421,XGBoost
15,StackedEnsemble_BestOfFamily_2_AutoML_2_20220517_221751,0.0027633288999673,0.0525673748628111,0.0027633288999673,0.0383363366878567,0.0324049593090905,StackedEnsemble
16,GBM_grid_1_AutoML_2_20220517_221751_model_13,0.0027748132221741,0.0526764959177632,0.0027748132221741,0.0385428114554132,0.0325399226106263,GBM
17,GBM_5_AutoML_2_20220517_221751,0.0027761856466183,0.0526895212221398,0.0027761856466183,0.0383181041069576,0.0323710767576841,GBM
18,GBM_grid_1_AutoML_2_20220517_221751_model_21,0.0027907411327009,0.05282746570394,0.0027907411327009,0.0387804347367075,0.0324924417708363,GBM
19,StackedEnsemble_AllModels_1_AutoML_2_20220517_221751,0.0027923567214665,0.0528427546733378,0.0027923567214665,0.038426614418407,0.0325573475401286,StackedEnsemble
